,id,Tweet,Sentiment,Textblob,Real
77,03bed82df09e8cdf787938a4d916f416,"""I'm a pescetarian and I've been placed this ""
#food #foods #foodie #foodpic #foodism… https://t.co/XJw0Wfs85j",Neutral,Neutral,Positive
78,03bed82df09e8cdf787938a4d91742e2,Freddie knows what good food looks like! #freddie #foodie… https://t.co/AI0jsmy5oW,Positive,Positive,Positive
79,03bed82df09e8cdf787938a4d9174dee,"Definitely one of my favorite smells!  
.
.
.
#confit #garlic #olive #oil #food #foodie #eat… https://t.co/vvh60wNCPa",Positive,Positive,Positive
80,03bed82df09e8cdf787938a4d917bd8f,Breaded fried pork chop... #breadedporkchops #porkchops #friedporkchops #foodie #yummy #yumyum… https://t.co/Z7QCPRY5c1,Positive,Neutral,Positive
81,03bed82df09e8cdf787938a4d917c52f,"reallyyy good chirashi and the best tempura in sydney!! 😍🍤
{#lunch #tb #throwback #food #foodie… https://t.co/kJsEMTYdT7",Positive,Positive,Positive
82,03bed82df09e8cdf787938a4d917d321,"Brunch 

#travelwithnezz #asiangirl #travel #foodie #bapwithnezz #aussiesnaps #explore #sydney… https://t.co/B3PEHCsmoF",Neutral,Neutral,Positive
83,03bed82df09e8cdf787938a4d9183ae9,Ricotta &amp; Warrigal Greens Tartlets #ricotta #foodie #bushtucker #tartlet #catering #grumbletumms… https://t.co/1hy4Eyqvfh,Neutral,Neutral,Neutral
84,03bed82df09e8cdf787938a4d9186c09,"Doughnut-sta-gram. 
#food #foodie #doughnuts #tasty #sydneysider #sydneylocal #sydney #city… https://t.co/UnR2djPryI",Neutral,Neutral,Positive
85,03bed82df09e8cdf787938a4d918914c,#Recipe clipping c. 1960s for Oven  #Barbecue Spareribs + Coleslaw #food #foodie #retrofood #RetroRecipe https://t.co/4eyxBwByAJ,Neutral,Neutral,Neutral
86,03bed82df09e8cdf787938a4d918f094,"3 cup chicken😮
#chicken #chickenlover #foodie #foodporn #foodstagram… https://t.co/MzLZItRPbC",Neutral,Negative,Neutral
87,03bed82df09e8cdf787938a4d918fab4,"So crispy😮
#dumplings #dumplinglover #foodie #sydneyfoodie #foodporn… https://t.co/fgSebQ0lA4",Neutral,Neutral,Positive
88,03bed82df09e8cdf787938a4d9195aa1,1970s Classic. #Fondue Story &amp; recipes here https://t.co/rcq2Y7ofmP #food #foodie #recipes #retrofood #RetroRecipe https://t.co/0P4aLFAusB,Neutral,Positive,Neutral
89,03bed82df09e8cdf787938a4d919744a,Vegetarian buffet before Life #food #foodie #foodporn #yummy #omnommom #yelpsydney @yelpsydney… https://t.co/dqVfBKOnm0,Positive,Neutral,Positive
90,03bed82df09e8cdf787938a4d9198de3,"Not so dumb dumplings 🙃
#dumplings #foodie #sydneyfoodie #foodporn… https://t.co/2dYWhmz3It",Negative,Negative,Positive
91,03bed82df09e8cdf787938a4d9199394,"Like an island 😮
#foodie #sydneyfoodie #cafe #cafefood #cafelover #foodporn #foodstagram… https://t.co/wT1udkvJQE",Positive,Neutral,Positive
92,03bed82df09e8cdf787938a4d9199c26,"Wow eggs 😮
#egglover #foodie #sydneyfoodie #cafe #cafelover #cafefood #foodporn #foodofinstagram… https://t.co/vNt3MhXoSr",Positive,Positive,Positive
93,03bed82df09e8cdf787938a4d919a484,"Parmy-sta-gram. 
#food #foodie #sydney #eat #cafe #foodlove #foodcoma #instafoto #city… https://t.co/4t2C2K2U0V",Neutral,Neutral,Positive
94,03bed82df09e8cdf787938a4d919b109,Molten chocolate cake dripping with love!! #cake #cakestagram #cupcakes #cakes #foodie… https://t.co/iAHaSHuasn,Positive,Positive,Positive
95,03bed82df09e8cdf787938a4d919f4d3,"Happy Sunday 😁
•
•
•
•
•
#caffeecucina #gnocchi #happy #weekend #sunday #foodie #delish #fun… https://t.co/PsYp9ISkoJ",Positive,Positive,Positive
96,03bed82df09e8cdf787938a4d919f5b9,ichoosesa has lots of food on the go at #tastingaustralia. #food #foodie @brandsouthaust @… https://t.co/yU59KEVMh3,Neutral,Neutral,Positive
97,03bed82df09e8cdf787938a4d91a40b9,"Sunday funday brunch day. 
#food #foods #foodie #foodpic #foodism #foodstagram #foodiegram… https://t.co/HV1expZFJ7",Neutral,Neutral,Positive
98,03bed82df09e8cdf787938a4d91a528f,"Perfect way to start the day @f10wer👌😊 #coffeetime #brunch #flowerchildcafe 
.
.
.
.
#foodie… https://t.co/hvggf08CDp",Positive,Positive,Positive
99,03bed82df09e8cdf787938a4d91aa06f,"Colorful carrots 😮
#veggie #veggielover #foodie #sydneyfoodie… https://t.co/HsRFHDE2Ks",Neutral,Positive,Positive
100,03bed82df09e8cdf787938a4d91ae385,This #breakfastsalad @the_misterfox was #effingdelish #foodporn #food #foodie #breakfast… https://t.co/bXxQmYd7Wp,Neutral,Neutral,Neutral
101,03bed82df09e8cdf787938a4d91aee9b,"Give me meat! Love lamb manlypavilion      
•
•
•
•
•
#food #foodie #meat #lamb #dining… https://t.co/iFdYhYiGx0",Positive,Positive,Positive
102,03bed82df09e8cdf787938a4d91b053e,"Yummy early lunch today with one of my gorgeous best friends dayynnaa01 ❤️🍰 
•
•
•
#food #foodie… https://t.co/ZxuE2joxjD",Positive,Positive,Positive
103,03bed82df09e8cdf787938a4d91b2643,"Delicious Salmon manlypavilion              •
•
•
•
#foodie #food #restaurants #foodblogger… https://t.co/oTeuP7hCk6",Neutral,Positive,Positive
104,03bed82df09e8cdf787938a4d91b4221,"Lovely evening for Manly Pavilion 
•
•
•
•
#dining #restaurants #instagood #foodie #foodblogger… https://t.co/YyYeo10OJ4",Positive,Positive,Positive
105,03bed82df09e8cdf787938a4d91b5649,"Pretty as a picture. 😍😍😍
.
.
.
#food #foodie #foodporn #breakfast #fuckyeah #yum #newtown… https://t.co/um34MI8ThO",Positive,Positive,Positive
106,03bed82df09e8cdf787938a4d91b87d8,"Lamb breast, seen here in its natural habit #food #foodie #foodpics #foodlover #instafood… https://t.co/0FEc0ArVPl",Positive,Positive,Neutral
107,03bed82df09e8cdf787938a4d91bb33c,Running with my #doughnuttime doughnut_time #doughnut #donut #food #foodie #foodporn #yummy… https://t.co/APwvCjydYn,Positive,Neutral,Positive
108,03bed82df09e8cdf787938a4d91c2a23,"Lunch.

#foodie #Melbourne #cafe #lunch #unique #pretty #cafe #hollafoodanddrink @ Holla Food &amp;… https://t.co/XLk2royNxM",Positive,Positive,Positive
109,03bed82df09e8cdf787938a4d91c5171,That how we rock @AlburyRiverdeck #foodie #foodstagram #foodphotography #people #love… https://t.co/DF6TAlM0Wt,Positive,Neutral,Positive
110,03bed82df09e8cdf787938a4d91c6950,"S A L T E D C A R A M E L 🤤
.
#foodie #mrsfoodie #mrsfoodieeats #sydneyeats #westernsydneyeats… https://t.co/GYRzcCTzSL",Neutral,Neutral,Neutral
111,03bed82df09e8cdf787938a4d91c843d,"The quinoa was the star of the dish. 
#food #foods #instafoodie #melbournefood #foodie #foodies… https://t.co/kRNefra0cr",Neutral,Neutral,Positive
112,03bed82df09e8cdf787938a4d91cb533,"Enjoying some #miloicecream 
~ Victorian Trip Day 6 ~ 
-
-
-
-
-
-
#icecream #food #foodie… https://t.co/mJV5xKmyWw",Positive,Positive,Positive
113,03bed82df09e8cdf787938a4d91cd177,"Fish 😮
#fish #foodie #sydneyfoodie #foodporn #foodstagram… https://t.co/CHS6uNCW19",Neutral,Neutral,Neutral
114,03bed82df09e8cdf787938a4d91d734a,highergroundmelbourne #instagram #melbourne #instalike #instafood #foodie #foodstagram #nailart… https://t.co/xlk5f5257T,Neutral,Neutral,Neutral
115,03bed82df09e8cdf787938a4d91d738f,"Hot-choc-sta-gram. 
#food #foodie #foodporn #instadaily #sydneylife #sydneycafes #city #urban… https://t.co/3muhLMrujO",Neutral,Neutral,Neutral
116,03bed82df09e8cdf787938a4d91dfbbf,"Very very yummy food 😋
#lebanesefood #foodie #foodporn #foodstagram… https://t.co/9X7SyEJMtO",Positive,Positive,Positive
117,03bed82df09e8cdf787938a4d91e3b05,"Lotus root fo dayz 👌🏻
.
.
.
.
#instagood #food #foodie #sydney #eeeeeats #yum #asian #chips… https://t.co/8IzpP7CuID",Neutral,Neutral,Neutral
118,03bed82df09e8cdf787938a4d91e69e7,"The texture is more than inviting. 
#food #foods #foodie #foodpic #foodism #foodstagram… https://t.co/rpdoZxiZRy",Positive,Positive,Positive
119,03bed82df09e8cdf787938a4d91f50d6,On Wednesdays we wear pink. #meangirls #pinklemonade #foodie😍 @ Pink Flamingo https://t.co/mbokuE9Y68,Neutral,Negative,Neutral
120,03bed82df09e8cdf787938a4d91f8f4f,Hello! #food #foodie #foodpics #foodlover #instafood #instagood #instadaily #paleo #glutenfree… https://t.co/9zpwz1rbRj,Neutral,Neutral,Neutral
121,03bed82df09e8cdf787938a4d91f9ffc,Date night before big weekend in Sydney with family. #datenight❤️ #thai #thaifood #foodie @… https://t.co/OMijieY8H1,Positive,Neutral,Positive
122,03bed82df09e8cdf787938a4d91fa747,Who want's a cupcake on their birthday! #birthdaycakes #foodie #foodstagram #buttercream… https://t.co/pZOWsTNNcY,Positive,Neutral,Positive
123,03bed82df09e8cdf787938a4d91fb53a,THE Brownie @4pinesbeer #thekellerdoor #food #foodie #foodpics #foodlover #instagood #instafood… https://t.co/kHcG4VNluS,Neutral,Neutral,Neutral
124,03bed82df09e8cdf787938a4d9200755,#recipes inspired by #Canadian films: https://t.co/B5RorVp40S Free #Cookbook #food #foodie https://t.co/Cg6YJmldtj,Positive,Positive,Neutral
125,03bed82df09e8cdf787938a4d9201cb1,Who's joining the Baldface x Mint team this December? Spots are limited for the ultimate… https://t.co/b6FRxFlKs2,Negative,Negative,Neutral
126,03bed82df09e8cdf787938a4d92029d0,Roasting marshmallows on the fire that took us almost half an hour to build. #foodporn #foodie… https://t.co/sj4xjdLmmv,Negative,Negative,Neutral
127,03bed82df09e8cdf787938a4d9203fad,An Aussie classic.  #homemade Neenish tarts to take on a picnic on ANZAC day. #food52 #foodie… https://t.co/LmlnfpTw7A,Neutral,Positive,Positive
128,03bed82df09e8cdf787938a4d9205827,Tuesday's 2 for 1 menu @4pinesbeer #thekellerdoor #howgoodisthis #healthy #4pines #food #foodie… https://t.co/6ESMpP7KZp,Positive,Positive,Neutral
129,03bed82df09e8cdf787938a4d920a789,"New staple 👌🏻🔥🔥
.
.
.
Yum yum #yum
#chips #foodie #foodgasm #foodporn #spicy #sydney #vscocam… https://t.co/xzIRmi8qB2",Neutral,Positive,Neutral
130,03bed82df09e8cdf787938a4d92119b7,"Vietnamese-food-stagram. 
#healthy #eater #eat #cheapeats #foodie #foodiegram #foodheaven #foods… https://t.co/HvCO7f0G8i",Positive,Positive,Neutral
131,03bed82df09e8cdf787938a4d921441d,"breakfast 🍳
{#tb #throwback #food #foodie #instafood #instadaily #instalike #instagood #daily… https://t.co/zRkNTkAGCm",Neutral,Neutral,Neutral
132,03bed82df09e8cdf787938a4d921569a,@FeudFX inspired #RetroRecipe #BetteDavis #Spinach stuffed #Fish https://t.co/El3sjCAeVR #food #foodie #recipe https://t.co/04VMMGcnnZ,Positive,Neutral,Neutral
133,03bed82df09e8cdf787938a4d9216016,@FeudFX inspired #RetroRecipe #JoanCrawford #PorkChops w. Onion and apple https://t.co/MPraCdUrM7 #food #foodie https://t.co/Q0DY20JzDW,Positive,Neutral,Neutral
134,03bed82df09e8cdf787938a4d92164c5,Hazelnut Heaven drip cake! 18th birthday! #birthdaycakes #foodie #foodstagram #buttercream… https://t.co/shyR2d0iFj,Positive,Neutral,Positive
135,03bed82df09e8cdf787938a4d9218383,Bendigo Marketplace #BgoMarketplace is #nowplaying Best Part Of Me by #BusbyMarou #cubevenue,Positive,Positive,Neutral
136,03bed82df09e8cdf787938a4d92238f4,"I'm at Spicy Fish in Melbourne, VIC https://t.co/QL4hnxfVpa",Neutral,Neutral,Neutral
137,03bed82df09e8cdf787938a4d9225a44,"Nice evening, had a meeting with some great local photographers about an upcoming event and… https://t.co/PpSv3ht619",Positive,Positive,Positive
138,03bed82df09e8cdf787938a4d9226fde,"Play and play 🏐🏐 (@ Oakleigh Recreation Centre in Oakleigh, Victoria) https://t.co/LqbXHktcwI",Neutral,Neutral,Positive
139,03bed82df09e8cdf787938a4d92292fe,Pls hire me radio &amp; tv companies + showing off the fact that I… https://t.co/1CWo8yDOVr,Neutral,Neutral,Neutral
140,03bed82df09e8cdf787938a4d922c6f7,TALENTO GREZZO series... @BernardGStudios andrewgueit @beauty_scribe @giantmanagement… https://t.co/6alofZeUbX,Neutral,Neutral,Neutral
141,03bed82df09e8cdf787938a4d9232400,"手㡾洗車車～ @ Narre Warren, Victoria https://t.co/pgx1PYjUU0",Neutral,Neutral,Neutral
142,03bed82df09e8cdf787938a4d923cddf,I love fireworks! #superpower #light #beauty @ Sydney Harbour - Water https://t.co/eJPzPmGik1,Positive,Positive,Positive
143,03bed82df09e8cdf787938a4d923ddc3,"Busy busy busy! 
#love #sydneyrestaurants #sydneyeats #eat #food #foodie #sydney #australia… https://t.co/I0kY90QU8W",Positive,Positive,Positive
144,03bed82df09e8cdf787938a4d923eb45,"#Redfern at night is an interesting experience... @ Redfern, New South Wales https://t.co/DjBDdby4Fq",Positive,Positive,Positive
145,03bed82df09e8cdf787938a4d9241233,"I'm at Tram Stop 19 in Melbourne, Victoria https://t.co/SLVZQry0uD",Negative,Neutral,Neutral
146,03bed82df09e8cdf787938a4d924ab58,#Gelatissimo #TheRocks is #nowplaying Rich Girl by #GwenStefani&amp;Eve #cubevenue,Positive,Positive,Neutral
147,03bed82df09e8cdf787938a4d92507e6,"#StructureFire: Murrumbeena Cr, Murrumbeena. Responding. 2 Appliances. Timeline: https://t.co/UW6bVgBker https://t.co/HPObOW8xeO",Neutral,Neutral,Neutral
148,03bed82df09e8cdf787938a4d9252088,"First visit to Elysian! ❤️

(Don't tell meegsysutherland) @ The Elysian Whisky Bar https://t.co/TEdLulAUr9",Neutral,Positive,Positive
149,03bed82df09e8cdf787938a4d9253e21,"Dumplings. With Meredith and johnno (@ I Love Dumplings in Flemington, VIC) https://t.co/WilpIxcU6B",Positive,Positive,Neutral
150,03bed82df09e8cdf787938a4d9257f69,"Han Nguyen, @hannguyennews is now trending in #Melbourne

https://t.co/NhdQQEaDTB https://t.co/naWpwSUrvA",Neutral,Neutral,Neutral
